Time,GeoType,GeoID,GeoRank,Geography,Percent
2017,NTA2010,6140,8,Upper East Side-Carnegie Hill,100.0
2017,NTA2010,6150,8,Stuyvesant Town-Cooper Village,100.0
2017,NTA2010,8101,8,South Jamaica,84.0
2017,NTA2010,8102,8,Springfield Gardens North,76.0
2017,NTA2010,8103,8,Springfield Gardens South-Brookville,85.0
2017,NTA2010,8105,8,Rosedale,58.0
2017,NTA2010,8106,8,Jamaica Estates-Holliswood,47.0
2017,NTA2010,8107,8,Hollis,50.0
2017,NTA2010,8108,8,St. Albans,54.0
2017,NTA2010,8110,8,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,98.0
2017,NTA2010,8112,8,Hammels-Arverne-Edgemere,95.0
2017,NTA2010,8115,8,Far Rockaway-Bayswater,70.0
2017,NTA2010,8117,8,Forest Hills,74.0
2017,NTA2010,8118,8,Rego Park,72.0
2017,NTA2010,8119,8,Glendale,64.0
2017,NTA2010,8120,8,Ridgewood,62.0
2017,NTA2010,8121,8,Middle Village,84.0
2017,NTA2010,8122,8,Flushing,90.0
2017,NTA2010,8123,8,College Point,85.0
2017,NTA2010,8125,8,Corona,86.0
2017,NTA2010,8126,8,North Corona,78.0
2017,NTA2010,8127,8,East Elmhurst,92.0
2017,NTA2010,8128,8,Jackson Heights,64.0
2017,NTA2010,8129,8,Elmhurst,67.0
2017,NTA2010,8130,8,Maspeth,81.0
2017,NTA2010,8131,8,Hunters Point-Sunnyside-West Maspeth,73.0
2017,NTA2010,8133,8,Cambria Heights,34.0
2017,NTA2010,8134,8,Queens Village,23.0
2017,NTA2010,8135,8,Briarwood-Jamaica Hills,78.0
2017,NTA2010,8137,8,Kew Gardens Hills,53.0
2017,NTA2010,8138,8,Pomonok-Flushing Heights-Hillcrest,60.0
2017,NTA2010,8141,8,Fresh Meadows-Utopia,69.0
2017,NTA2010,8142,8,Oakland Gardens,90.0
2017,NTA2010,8143,8,Bellerose,46.0
2017,NTA2010,8144,8,Glen Oaks-Floral Park-New Hyde Park,34.0
2017,NTA2010,8145,8,Douglas Manor-Douglaston-Little Neck,75.0
