Time,Geography,Degrees Fahrenheit
2018,Georgetown-Marine Park-Bergen Beach-Mill Basin,99.4
2018,Ocean Parkway South,99.9
2018,Canarsie,99.2
2018,Flatlands,100.5
2018,Prospect Lefferts Gardens-Wingate,97.8
2018,Crown Heights North,97.8
2018,Crown Heights South,97
2018,Prospect Heights,96.6
2018,Fort Greene,97.6
2018,Clinton Hill,97.9
2018,Williamsburg,100.9
2018,North Side-South Side,99.3
2018,Bedford,99.1
2018,Greenpoint,98.7
2018,Bushwick North,99.5
2018,Bushwick South,100.7
2018,Ocean Hill,100.6
2018,Brownsville,100.7
2018,East New York,100.7
2018,Cypress Hills-City Line,99
2018,East New York (Pennsylvania Ave),100.9
2018,Borough Park,99.9
2018,East Williamsburg,100
2018,East Flatbush-Farragut,100.5
2018,Starrett City,95.5
2018,Erasmus,98.6
2018,Rugby-Remsen Village,99.6
2018,Marble Hill-Inwood,97.1
2018,Central Harlem North-Polo Grounds,98.4
2018,Hamilton Heights,95.1
2018,Manhattanville,96.8
2018,Morningside Heights,96.2
2018,Central Harlem South,98.3
2018,Upper West Side,95.5
2018,Hudson Yards-Chelsea-Flatiron-Union Square,99.1
2018,Lincoln Square,96.4
2018,Clinton,98.3
2018,Midtown-Midtown South,97.5
2018,Turtle Bay-East Midtown,97.2
2018,Murray Hill-Kips Bay,97.8
2018,Gramercy,99.9
2018,East Village,98.3
2018,West Village,98
2018,SoHo-TriBeCa-Civic Center-Little Italy,98.7
2018,Battery Park City-Lower Manhattan,92.6
2018,Chinatown,97.8
2018,Lower East Side,97.4
2018,Lenox Hill-Roosevelt Island,96.2
2018,Yorkville,96.6
2018,East Harlem South,97.8
2018,East Harlem North,98.2
2018,Washington Heights North,94.6
2018,Washington Heights South,95.6
2018,Upper East Side-Carnegie Hill,97.5
2018,Stuyvesant Town-Cooper Village,94.1
2018,South Jamaica,102.8
2018,Springfield Gardens North,101.5
2018,Springfield Gardens South-Brookville,101.2
2018,Rosedale,99.2
2018,Jamaica Estates-Holliswood,98.4
2018,Hollis,102.4
2018,St. Albans,102.3
2018,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,94.3
2018,Hammels-Arverne-Edgemere,93.7
2018,Far Rockaway-Bayswater,95.9
2018,Forest Hills,98.6
2018,Rego Park,100.1
2018,Glendale,97.6
2018,Ridgewood,96.4
2018,Middle Village,98.5
2018,Flushing,99.8
2018,College Point,99.7
2018,Corona,100.7
2018,North Corona,100.3
2018,East Elmhurst,101.2
2018,Jackson Heights,99
2018,Elmhurst,100.9
2018,Maspeth,99.7
2018,Hunters Point-Sunnyside-West Maspeth,99.1
2018,Cambria Heights,102.4
2018,Queens Village,102.7
2018,Briarwood-Jamaica Hills,101.1
2018,Kew Gardens Hills,100.3
2018,Pomonok-Flushing Heights-Hillcrest,101.1
2018,Fresh Meadows-Utopia,99.9
2018,Oakland Gardens,98
2018,Bellerose,100.6
2018,Glen Oaks-Floral Park-New Hyde Park,100
2018,Douglas Manor-Douglaston-Little Neck,97
2018,Bayside-Bayside Hills,100.2
2018,Ft. Totten-Bay Terrace-Clearview,98
2018,Auburndale,101.4
2018,Whitestone,99.9
2018,Elmhurst-Maspeth,99.9
2018,Murray Hill,100.1
2018,East Flushing,101.4
2018,Woodhaven,100.4
2018,Richmond Hill,102.3
2018,South Ozone Park,102.4
2018,Ozone Park,101.3
2018,Lindenwood-Howard Beach,96.9
2018,Kew Gardens,98.1
2018,Jamaica,102.6
2018,Queensboro Hill,100
2018,Woodside,100.2
2018,Laurelton,102.1
2018,Queensbridge-Ravenswood-Long Island City,100
2018,Astoria,97.6
2018,Old Astoria,97.6
2018,Steinway,97.8
2018,Baisley Park,101.7
2018,Annadale-Huguenot-Prince's Bay-Eltingville,95.9
2018,New Springville-Bloomfield-Travis,96.7
2018,Westerleigh,99.2
2018,Grymes Hill-Clifton-Fox Hills,95.5
2018,Charleston-Richmond Valley-Tottenville,94
2018,Mariner's Harbor-Arlington-Port Ivory-Graniteville,100.2
2018,Grasmere-Arrochar-Ft. Wadsworth,95.4
2018,West New Brighton-New Brighton-St. George,96.7
2018,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,97.6
2018,Oakwood-Oakwood Beach,96
2018,Port Richmond,101.6
2018,Rossville-Woodrow,96.9
2018,New Brighton-Silver Lake,96.6
2018,Old Town-Dongan Hills-South Beach,97.1
2018,Stapleton-Rosebank,96.4
2018,New Dorp-Midland Beach,99.1
2018,Arden Heights,97.7
2018,Great Kills,98.5
