geography,Coverage Percentage,Degrees Fahrenheit,Walkability Percent,lat,lng,zip
Central Harlem North-Polo Grounds,25,98.4,99,40.8183,-73.9408,10030
Hamilton Heights,30.6,95.1,100,40.827,-73.9485,10031
Manhattanville,26.5,96.8,99,40.818,-73.9538,10027
Morningside Heights,38.3,96.2,99,40.8079,-73.9625,10027
Central Harlem South,19.7,98.3,100,40.8043,-73.9513,10026
Upper West Side,32.1,95.5,99,40.7884,-73.9756,10024
Hudson Yards-Chelsea-Flatiron-Union Square,12.8,99.1,91,40.7476,-73.999,10001
Lincoln Square,20.1,96.4,100,40.7748,-73.9847,10023
Clinton,11.9,98.3,96,40.7642,-73.9924,10019
Midtown-Midtown South,3.4,97.5,92,40.7557,-73.9835,10036
Turtle Bay-East Midtown,14.2,97.2,84,40.7543,-73.969,10022
Murray Hill-Kips Bay,15.6,97.8,92,40.7442,-73.9775,10016
Gramercy,16.2,99.9,100,40.7368,-73.9841,10003
East Village,23.1,98.3,100,40.7276,-73.9859,10003
West Village,19.3,98,99,40.733,-74.0015,10014
SoHo-TriBeCa-Civic Center-Little Italy,9.5,98.7,100,40.7208,-74.0047,10013
Battery Park City-Lower Manhattan,14.4,92.6,98,40.708,-74.0102,10005
Chinatown,17.9,97.8,100,40.7156,-73.9946,10002
Lower East Side,31.8,97.4,100,40.7178,-73.9809,10002
Lenox Hill-Roosevelt Island,24.2,96.2,92,40.765,-73.9551,10065
Yorkville,21.8,96.6,94,40.7773,-73.9487,10128
East Harlem South,26.6,97.8,100,40.79,-73.9458,10029
East Harlem North,27.8,98.2,100,40.8012,-73.9373,10035
Washington Heights North,35.8,94.6,100,40.8571,-73.9328,10040
Washington Heights South,22.5,95.6,100,40.8417,-73.9414,10032
Upper East Side-Carnegie Hill,17.5,97.5,100,40.7747,-73.9612,10075
Stuyvesant Town-Cooper Village,42,94.1,100,40.7318,-73.9766,10009
South Jamaica,31.2,102.8,84,40.6944,-73.791,11433
Springfield Gardens North,41,101.5,76,40.6721,-73.773,11434
Springfield Gardens South-Brookville,34.7,101.2,85,40.6622,-73.7645,11413
Rosedale,50.9,99.2,58,40.6578,-73.7395,11422
